Variable,Definition,Storage,Units
Employee.Name,Names of each individual,factor,NA
Job.Title,Individual's title in the UC database,factor,NA
Base.Pay,Base Pay,numeric,USD
Overtime.Pay,Overtime Pay,numeric,USD
Other.Pay,Other Pay,factor,USD
Benefits,Benefits,numeric,USD
Total.Pay,Total not including benefits,numeric,USD
Total.Pay...Benefits,Total including benefits,numeric,USD
Year,Year,integer,Date
Notes,Notes - details if an individual holds multiple positions,logical,NA
Agency,Agency - all University of California employees,factor,NA
